Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Sola;SN44560;28.09.2019;17,5
Sola;SN44560;29.09.2019;16,1
Sola;SN44560;30.09.2019;12,1
Sola;SN44560;01.09.2020;18,4
Sola;SN44560;02.09.2020;20,2
Sola;SN44560;03.09.2020;16,6
Sola;SN44560;04.09.2020;16,4
Sola;SN44560;05.09.2020;15,1
Sola;SN44560;06.09.2020;15,3
Sola;SN44560;07.09.2020;15,2
Sola;SN44560;08.09.2020;15,2
Sola;SN44560;09.09.2020;15,7
Sola;SN44560;10.09.2020;14,9
Sola;SN44560;11.09.2020;14,6
Sola;SN44560;12.09.2020;15,2
Sola;SN44560;13.09.2020;15,9
Sola;SN44560;14.09.2020;16,2
Sola;SN44560;15.09.2020;17,8
Sola;SN44560;16.09.2020;15,1
Sola;SN44560;17.09.2020;16,9
Sola;SN44560;18.09.2020;15,9
Sola;SN44560;19.09.2020;15,6
Sola;SN44560;20.09.2020;15,9
Sola;SN44560;21.09.2020;14,7
Sola;SN44560;22.09.2020;16,2
Sola;SN44560;23.09.2020;15,2
Sola;SN44560;24.09.2020;15
Sola;SN44560;25.09.2020;12,3
Sola;SN44560;26.09.2020;16,8
Sola;SN44560;27.09.2020;17,9
Sola;SN44560;28.09.2020;16,5
Sola;SN44560;29.09.2020;15,5
Sola;SN44560;30.09.2020;16,8
Sola;SN44560;01.09.2021;17,4
Sola;SN44560;02.09.2021;16,9
Sola;SN44560;03.09.2021;16,7
Sola;SN44560;04.09.2021;18
Sola;SN44560;05.09.2021;18,1
Sola;SN44560;06.09.2021;17,4
Sola;SN44560;07.09.2021;18,2
Sola;SN44560;08.09.2021;20,2
Sola;SN44560;09.09.2021;22
Sola;SN44560;10.09.2021;24,7
Sola;SN44560;11.09.2021;18,2
Sola;SN44560;12.09.2021;16,1
Sola;SN44560;13.09.2021;17,2
Sola;SN44560;14.09.2021;16,9
Sola;SN44560;15.09.2021;17
Sola;SN44560;16.09.2021;16,4
Sola;SN44560;17.09.2021;17,7
Sola;SN44560;18.09.2021;17,4
Sola;SN44560;19.09.2021;15,2
Sola;SN44560;20.09.2021;15,8
Sola;SN44560;21.09.2021;15,7
Sola;SN44560;22.09.2021;17
Sola;SN44560;23.09.2021;14,3
Sola;SN44560;24.09.2021;14,9
Sola;SN44560;25.09.2021;15,7
Sola;SN44560;26.09.2021;17,7
Sola;SN44560;27.09.2021;20,4
Sola;SN44560;28.09.2021;16,8
Sola;SN44560;29.09.2021;18,1
Sola;SN44560;30.09.2021;14,9
Sola;SN44560;01.09.2022;19,6
Sola;SN44560;02.09.2022;20
Sola;SN44560;03.09.2022;22,3
Sola;SN44560;04.09.2022;22,1
Sola;SN44560;05.09.2022;20,4
Sola;SN44560;06.09.2022;21,4
Sola;SN44560;07.09.2022;18,4
Sola;SN44560;08.09.2022;19,6
Sola;SN44560;09.09.2022;17
Sola;SN44560;10.09.2022;18,2
Sola;SN44560;11.09.2022;18,1
Sola;SN44560;12.09.2022;16,4
Sola;SN44560;13.09.2022;15,7
Sola;SN44560;14.09.2022;15,4
Sola;SN44560;15.09.2022;13,2
Sola;SN44560;16.09.2022;16
Sola;SN44560;17.09.2022;13,8
Sola;SN44560;18.09.2022;15,5
Sola;SN44560;19.09.2022;14,3
Sola;SN44560;20.09.2022;14,4
Sola;SN44560;21.09.2022;11,7
Data er gyldig per 21.09.2022 (CC BY 4.0), Meteorologisk institutt (MET);;;
